[2025-11-28 09:37:05] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 09:37:05] INFO: 📊 数据库类型: json
[2025-11-28 09:37:05] INFO: 🔐 环境: development
[2025-11-28 09:37:23] WARN: 登录失败: 用户名或密码错误 (admin)
[2025-11-28 09:55:25] INFO: GET / - 200 (2ms)
[2025-11-28 09:55:27] INFO: 删除文件夹: ID=1 (所有者: admin)
[2025-11-28 09:55:27] INFO: DELETE /1 - 200 (17ms)
[2025-11-28 09:55:27] INFO: GET / - 200 (2ms)
[2025-11-28 09:55:32] INFO: 创建文件夹: test (所有者: admin)
[2025-11-28 09:55:32] INFO: POST / - 201 (8ms)
[2025-11-28 09:55:32] INFO: GET / - 200 (3ms)
[2025-11-28 09:55:34] INFO: GET / - 200 (4ms)
[2025-11-28 09:55:34] INFO: GET / - 200 (5ms)
[2025-11-28 09:55:34] INFO: GET /1/files - 200 (9ms)
[2025-11-28 09:55:34] INFO: GET /1/subfolders - 200 (10ms)
[2025-11-28 09:55:38] INFO: GET / - 200 (3ms)
[2025-11-28 09:55:38] INFO: GET / - 200 (9ms)
[2025-11-28 09:55:38] INFO: GET /1/files - 200 (13ms)
[2025-11-28 09:55:38] INFO: GET /1/subfolders - 200 (16ms)
[2025-11-28 09:55:41] INFO: 上传文件: TNW-2023040104.jpg (文件夹: test)
[2025-11-28 09:55:41] INFO: POST /1/upload - 200 (47ms)
[2025-11-28 09:55:41] INFO: GET /1/files - 200 (2ms)
[2025-11-28 09:55:45] INFO: 创建文件夹: t2 (所有者: admin)
[2025-11-28 09:55:45] INFO: POST / - 201 (7ms)
[2025-11-28 09:55:45] INFO: GET /1/subfolders - 200 (4ms)
[2025-11-28 09:55:52] INFO: GET / - 200 (2ms)
[2025-11-28 09:55:52] INFO: GET / - 200 (4ms)
[2025-11-28 09:55:52] INFO: GET /2/files - 200 (6ms)
[2025-11-28 09:55:52] INFO: GET /2/subfolders - 200 (7ms)
[2025-11-28 09:55:57] INFO: GET / - 200 (6ms)
[2025-11-28 09:55:57] INFO: GET / - 200 (5ms)
[2025-11-28 09:55:57] INFO: GET / - 200 (5ms)
[2025-11-28 09:55:57] INFO: GET /2/subfolders - 200 (11ms)
[2025-11-28 09:55:57] INFO: GET /2/files - 200 (13ms)
[2025-11-28 09:55:59] INFO: 上传文件: TNW-2023040101.jpg (文件夹: t2)
[2025-11-28 09:55:59] INFO: POST /2/upload - 200 (41ms)
[2025-11-28 09:55:59] INFO: GET /2/files - 200 (3ms)
[2025-11-28 09:56:03] WARN: POST /2/move - 403 (4ms)
[2025-11-28 09:58:59] INFO: 收到SIGINT信号，开始优雅关闭...
[2025-11-28 09:59:04] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 09:59:04] INFO: 📊 数据库类型: json
[2025-11-28 09:59:04] INFO: 🔐 环境: development
[2025-11-28 09:59:59] INFO: GET / - 200 (21ms)
[2025-11-28 09:59:59] INFO: GET / - 200 (20ms)
[2025-11-28 09:59:59] INFO: GET / - 200 (20ms)
[2025-11-28 09:59:59] INFO: GET /2/files - 200 (28ms)
[2025-11-28 09:59:59] INFO: GET /2/subfolders - 200 (28ms)
[2025-11-28 10:17:53] INFO: GET / - 200 (11ms)
[2025-11-28 10:17:53] INFO: GET / - 200 (12ms)
[2025-11-28 10:17:53] INFO: GET / - 200 (11ms)
[2025-11-28 10:17:53] INFO: GET /2/files - 200 (23ms)
[2025-11-28 10:17:53] INFO: GET /2/subfolders - 200 (24ms)
[2025-11-28 10:17:55] INFO: GET / - 200 (7ms)
[2025-11-28 10:17:55] INFO: GET / - 200 (10ms)
[2025-11-28 10:17:55] INFO: GET / - 200 (15ms)
[2025-11-28 10:17:55] INFO: GET /2/files - 200 (23ms)
[2025-11-28 10:17:55] INFO: GET /2/subfolders - 200 (24ms)
[2025-11-28 10:17:56] INFO: GET / - 200 (5ms)
[2025-11-28 10:17:56] INFO: GET / - 200 (7ms)
[2025-11-28 10:17:56] INFO: GET /2/subfolders - 200 (10ms)
[2025-11-28 10:17:56] INFO: GET /2/files - 200 (14ms)
[2025-11-28 10:17:57] INFO: GET / - 200 (3ms)
[2025-11-28 10:18:01] INFO: 收到SIGINT信号，开始优雅关闭...
[2025-11-28 10:18:05] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 10:18:05] INFO: 📊 数据库类型: json
[2025-11-28 10:18:05] INFO: 🔐 环境: development
[2025-11-28 10:18:17] INFO: GET / - 200 (21ms)
[2025-11-28 10:18:17] INFO: GET / - 200 (20ms)
[2025-11-28 10:18:17] INFO: GET / - 200 (14ms)
[2025-11-28 10:18:17] INFO: GET /2/subfolders - 200 (26ms)
[2025-11-28 10:18:17] INFO: GET /2/files - 200 (31ms)
[2025-11-28 10:18:20] WARN: POST /2/move - 404 (31ms)
[2025-11-28 10:18:23] INFO: GET / - 200 (7ms)
[2025-11-28 10:18:23] INFO: GET / - 200 (10ms)
[2025-11-28 10:18:23] INFO: GET /2/files - 200 (15ms)
[2025-11-28 10:18:23] INFO: GET /2/subfolders - 200 (16ms)
[2025-11-28 10:18:24] INFO: GET / - 200 (3ms)
[2025-11-28 10:18:28] WARN: POST /2/move - 404 (5ms)
[2025-11-28 10:18:31] INFO: GET / - 200 (5ms)
[2025-11-28 10:18:31] INFO: GET /1/files - 200 (7ms)
[2025-11-28 10:18:31] INFO: GET /1/subfolders - 200 (13ms)
[2025-11-28 10:18:35] WARN: POST /1/move - 404 (5ms)
[2025-11-28 10:18:53] INFO: GET / - 200 (7ms)
[2025-11-28 10:18:53] INFO: GET / - 200 (7ms)
[2025-11-28 10:18:53] INFO: GET /1/files - 200 (12ms)
[2025-11-28 10:18:53] INFO: GET /1/subfolders - 200 (15ms)
[2025-11-28 10:27:24] INFO: 收到SIGINT信号，开始优雅关闭...
[2025-11-28 10:27:29] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 10:27:29] INFO: 📊 数据库类型: json
[2025-11-28 10:27:29] INFO: 🔐 环境: development
[2025-11-28 10:27:33] INFO: GET / - 200 (23ms)
[2025-11-28 10:27:33] INFO: GET / - 200 (21ms)
[2025-11-28 10:27:33] INFO: GET /1/files - 200 (27ms)
[2025-11-28 10:27:33] INFO: GET /1/subfolders - 200 (27ms)
[2025-11-28 10:27:34] INFO: GET / - 200 (5ms)
[2025-11-28 10:27:34] INFO: GET / - 200 (7ms)
[2025-11-28 10:27:34] INFO: GET /1/files - 200 (11ms)
[2025-11-28 10:27:34] INFO: GET /1/subfolders - 200 (13ms)
[2025-11-28 10:27:40] WARN: POST /1/move - 404 (20ms)
[2025-11-28 10:27:45] INFO: GET / - 200 (5ms)
[2025-11-28 10:27:45] INFO: GET / - 200 (13ms)
[2025-11-28 10:27:45] INFO: GET /1/subfolders - 200 (20ms)
[2025-11-28 10:27:45] INFO: GET /1/files - 200 (21ms)
[2025-11-28 10:27:46] INFO: GET / - 304 (2ms)
[2025-11-28 10:27:46] INFO: GET /2/subfolders - 200 (6ms)
[2025-11-28 10:27:46] INFO: GET /2/files - 200 (8ms)
[2025-11-28 10:27:46] INFO: GET / - 304 (4ms)
[2025-11-28 10:27:46] INFO: GET / - 304 (3ms)
[2025-11-28 10:27:47] INFO: GET / - 200 (5ms)
[2025-11-28 10:27:47] INFO: GET / - 200 (6ms)
[2025-11-28 10:27:47] INFO: GET /1/subfolders - 200 (9ms)
[2025-11-28 10:27:47] INFO: GET /1/files - 200 (12ms)
[2025-11-28 10:27:49] INFO: GET / - 200 (3ms)
[2025-11-28 10:27:49] INFO: GET / - 200 (4ms)
[2025-11-28 10:27:49] INFO: GET /1/subfolders - 200 (6ms)
[2025-11-28 10:27:49] INFO: GET /1/files - 200 (8ms)
[2025-11-28 10:27:49] WARN: POST /1/move - 404 (5ms)
[2025-11-28 10:32:46] INFO: 收到SIGINT信号，开始优雅关闭...
[2025-11-28 10:32:50] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 10:32:50] INFO: 📊 数据库类型: json
[2025-11-28 10:32:50] INFO: 🔐 环境: development
[2025-11-28 10:33:04] INFO: GET / - 200 (19ms)
[2025-11-28 10:33:04] INFO: GET / - 200 (18ms)
[2025-11-28 10:33:04] INFO: GET /1/subfolders - 200 (21ms)
[2025-11-28 10:33:04] INFO: GET /1/files - 200 (26ms)
[2025-11-28 10:33:06] INFO: GET / - 200 (4ms)
[2025-11-28 10:33:06] INFO: GET / - 200 (4ms)
[2025-11-28 10:33:06] INFO: GET /1/files - 200 (8ms)
[2025-11-28 10:33:06] INFO: GET /1/subfolders - 200 (10ms)
[2025-11-28 10:33:08] WARN: POST /1/move - 404 (21ms)
[2025-11-28 10:33:12] INFO: GET / - 200 (6ms)
[2025-11-28 10:33:12] INFO: GET / - 200 (7ms)
[2025-11-28 10:33:12] INFO: GET /1/subfolders - 200 (12ms)
[2025-11-28 10:33:12] INFO: GET /1/files - 200 (15ms)
[2025-11-28 10:33:26] INFO: GET / - 200 (5ms)
[2025-11-28 10:33:26] INFO: GET / - 200 (5ms)
[2025-11-28 10:33:26] INFO: GET /1/subfolders - 200 (8ms)
[2025-11-28 10:33:26] INFO: GET /1/files - 200 (13ms)
[2025-11-28 10:34:55] INFO: GET / - 200 (3ms)
[2025-11-28 10:34:55] INFO: GET / - 200 (4ms)
[2025-11-28 10:34:55] INFO: GET /1/files - 200 (7ms)
[2025-11-28 10:34:55] INFO: GET /1/subfolders - 200 (10ms)
[2025-11-28 10:35:41] INFO: 收到SIGINT信号，开始优雅关闭...
[2025-11-28 10:35:46] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 10:35:46] INFO: 📊 数据库类型: json
[2025-11-28 10:35:46] INFO: 🔐 环境: development
[2025-11-28 10:37:37] INFO: 收到SIGINT信号，开始优雅关闭...
[2025-11-28 10:37:42] INFO: ✅ 服务器运行在端口 3000
